work_id	volume_file	volume_title	volume_date	prenom_auteur	nom_auteur	volume_edition_id	first_edition	first_edition_titre	first_edition_date	list_edition_bnf
10	gallica_bpt6k1510646q	L'hystoire des faitz et prouesses du vaillant chevalier Guerin/ par avant nommé Mesquin/ filz de Millon de Bourgongne/ lequel en son temps eut plusieurs grandes adventures/ tant en allant aux arbres du soleil et de la lune/ que au meilleu des montaignes de ytalie oo il trouva la belle Sibille en vie/ et comment il fut porte par les diables en Purgatoire. Avec le voyage de Hierusalem. Traduit de ytalien en francoys	1547	none	Andrea da Barberino	cb302901821	cb33409862d	Le premier livre de Guerin Mesquin La tres joyeuse plaisante et recreative hystoire des faitz, gestes, triumphes et prouesses du tres preulx et vaillant chevalier Guerin par advent nomme Mesquin filz de Millon de Bourgongne prince de Tarante et en son temps roy Dalbanye. Lequel ce trouva en plusieurs prouvinces estranges et en plusieurs grandes batailles rencontres et assaulx ou il fist de merveilleux faitz darmes ainsi que recite ce present livre lequel a este traduyct de vulgaire italien en langue francoyse par honneste personne Jehan Decuchermoys, ...	1530	cb33409862d, cb36692587v, cb302901821
10	gallica_btv1b8600157p	Le premier livre de Guerin Mesquin La tres joyeuse plaisante et recreative hystoire des faitz, gestes, triumphes et prouesses du tres preulx et vaillant chevalier Guerin par advent nomme Mesquin filz de Millon de Bourgongne prince de Tarante et en son temps roy Dalbanye. Lequel ce trouva en plusieurs prouvinces estranges et en plusieurs grandes batailles rencontres et assaulx ou il fist de merveilleux faitz darmes ainsi que recite ce present livre lequel a este traduyct de vulgaire italien en langue francoyse par honneste personne Jehan Decuchermoys, ...	1530	none	Andrea da Barberino	cb33409862d	cb33409862d	Le premier livre de Guerin Mesquin La tres joyeuse plaisante et recreative hystoire des faitz, gestes, triumphes et prouesses du tres preulx et vaillant chevalier Guerin par advent nomme Mesquin filz de Millon de Bourgongne prince de Tarante et en son temps roy Dalbanye. Lequel ce trouva en plusieurs prouvinces estranges et en plusieurs grandes batailles rencontres et assaulx ou il fist de merveilleux faitz darmes ainsi que recite ce present livre lequel a este traduyct de vulgaire italien en langue francoyse par honneste personne Jehan Decuchermoys, ...	1530	cb33409862d, cb36692587v, cb302901821
11	gallica_bpt6k87076402	Alector, histoire fabuleuse , traduicte en franc̜ois d'un fragment divers, trouvé non entier, mais entrerompu, &amp;amp; sans forme de principe	1560	Barthélemy	Aneau	cb300204702	cb300204702	Alector, histoire fabuleuse , traduicte en franc̜ois d'un fragment divers, trouvé non entier, mais entrerompu, &amp;amp; sans forme de principe	1560	cb300204702
12	gallica_btv1b8600074v	L'Amour de Cupido et de Psiché, mère de Volupté, prise des cinq &amp;amp; sixiesme livres de la Metamorphose de Lucius Apuleius philosophe. Nouvellement historiée et exposée en vers françois	1586	none	Apulée	cb30024177m	cb30024177m	L'Amour de Cupido et de Psiché, mère de Volupté, prise des cinq &amp;amp; sixiesme livres de la Metamorphose de Lucius Apuleius philosophe. Nouvellement historiée et exposée en vers françois	1586	cb30024177m, cb31726472j
13	gallica_bpt6k116877m	Le cinquante deuxiesme arrest d'amours, avecques ses ordonnances sur le fait des masques . Ainsi signé : le Pamphile	1528	Gilles d'	Aurigny	cb30040381v	cb30040381v	Le cinquante deuxiesme arrest d'amours, avecques ses ordonnances sur le fait des masques . Ainsi signé : le Pamphile	1528	cb30040381v
14	gallica_bpt6k111068s	Fierabras	1497	Jehan	Bagnyon	cb333920239	cb33392022z	Fierabras	1478	cb33392022z, cb33392021m, cb40108943b, cb333920239
14	gallica_bpt6k8712386r	Fierabras (Le roman de). - (A la fin :) Cy finist le romant de Fierabras le geant, imprimé // à Geneve, l'an de grace mil CCCC LXXVIII, le XXVIIIe jour // de novembre	1478	Jehan	Bagnyon	cb33392021m	cb33392022z	Fierabras	1478	cb33392022z, cb33392021m, cb40108943b, cb333920239
14	gallica_bpt6k87123949	Fierabras	1483	Jehan	Bagnyon	cb40108943b	cb33392022z	Fierabras	1478	cb33392022z, cb33392021m, cb40108943b, cb333920239
14	gallica_bpt6k87136455	Fierabras	1497	Jehan	Bagnyon	cb333920239	cb33392022z	Fierabras	1478	cb33392022z, cb33392021m, cb40108943b, cb333920239
14	gallica_btv1b7300034d	Fierabras	1483	Jehan	Bagnyon	cb40108943b	cb33392022z	Fierabras	1478	cb33392022z, cb33392021m, cb40108943b, cb333920239
14	gallica_btv1b8600180x	Fierabras	1478	Jehan	Bagnyon	cb33392022z	cb33392022z	Fierabras	1478	cb33392022z, cb33392021m, cb40108943b, cb333920239
15	gallica_btv1b86000773	La Conqueste du grant roy Charlemaigne des Espaignes . Avec les faictz et gestes des douze Pers de France et du grand Fierabras et le combat faict par luy contre le petit Olivier lequel le vainquit. Et des trois freres qui firent les neuf Espees, dont Fierabras en avoit trois pour combatre contre ses ennemys, comme vous pourrez voir cy après. XXI. F.	1573	Jehan	Bagnyon	cb33322612v	cb356697113	La Conqueste du grant roy Charlemaigne des espagnes . Et les vailla[n]ces des douze pers de France. Et aussi celles du vaillant Fierabras	1534	cb356697113, cb33322626j, cb35767599g, cb45241920p, cb33322612v
15	gallica_btv1b8600085n	La conqueste que fit le grant roy Charlemaigne es Espaignes avec les nobles prouesses des douze pers de France et aussi celles de Fierabras. Oultre plus est comprins aulcun recueil faict a l'honneur du tres chrestien roy de France Charles VIIIe, dernierement decede, touchant la journee de Fournoul. - On les vend a Lyon en la maison de Pierre de Saincte Lucie. - (Au f. 79, verso :) Cy finist Fierabras, imprimee (sic.) a Lyon par Pierre de Saincte Lucye dict le Prince. Lan de grace. MCCCCCXXXVI. Le VII jour de septembre. Cy apres sensuyt les nobles proesses et vaillances faictes par... Charles VIII...	1536	Jehan	Bagnyon	cb33322626j	cb356697113	La Conqueste du grant roy Charlemaigne des espagnes . Et les vailla[n]ces des douze pers de France. Et aussi celles du vaillant Fierabras	1534	cb356697113, cb33322626j, cb35767599g, cb45241920p, cb33322612v
16	gallica_bpt6k1103413	Le second tome des Histoires tragiques , extraites de l'italien de Bandel, contenant encore dixhuit histoires traduites et enrichies outre l'invention de l'autheur par François de Belleforest...	1566	Matteo	Bandello	cb36043475r	cb36043475r	Le second tome des Histoires tragiques , extraites de l'italien de Bandel, contenant encore dixhuit histoires traduites et enrichies outre l'invention de l'autheur par François de Belleforest...	1566	cb36043475r, cb30079877s, cb30079876f, cb360434821, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb360434763, cb30079877s, cb30079876f, cb36043477f, cb30079877s, cb30079876f, cb300798784, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079879g, cb30116344n, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb300798753, cb30079877s, cb30079876f, cb30079879g, cb360434794, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g
16	gallica_bpt6k110342g	Le troisième tome des Histoires tragiques , extraictes des œuvres italiennes de Bandel, contenant dix huit histoires traduittes et enrichies outre l'invention de l'auteur par François de Belleforest...	1569	Matteo	Bandello	cb360434821	cb36043475r	Le second tome des Histoires tragiques , extraites de l'italien de Bandel, contenant encore dixhuit histoires traduites et enrichies outre l'invention de l'autheur par François de Belleforest...	1566	cb36043475r, cb30079877s, cb30079876f, cb360434821, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb360434763, cb30079877s, cb30079876f, cb36043477f, cb30079877s, cb30079876f, cb300798784, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079879g, cb30116344n, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb300798753, cb30079877s, cb30079876f, cb30079879g, cb360434794, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g
16	gallica_bpt6k110343v	Le quatriesme tome des Histoires tragiques , partie extraites des oeuvres italiennes du Bandel, et partie de l'invention de l'autheur françois, contenant vingt-six histoires, enrichies et ornées avec plus de diligence que les précédentes par François de Belle-forest...	1571	Matteo	Bandello	cb360434763	cb36043475r	Le second tome des Histoires tragiques , extraites de l'italien de Bandel, contenant encore dixhuit histoires traduites et enrichies outre l'invention de l'autheur par François de Belleforest...	1566	cb36043475r, cb30079877s, cb30079876f, cb360434821, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb360434763, cb30079877s, cb30079876f, cb36043477f, cb30079877s, cb30079876f, cb300798784, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079879g, cb30116344n, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb300798753, cb30079877s, cb30079876f, cb30079879g, cb360434794, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g
16	gallica_bpt6k1103447	Le cinquiesme tome des Histoires tragiques , [extraites de l'italien de Bandel], contenant un discours mémorable de plusieurs histoires,... [trad. et enrichies outre l'invention de l'autheur] par François de Belleforest...	1572	Matteo	Bandello	cb36043477f	cb36043475r	Le second tome des Histoires tragiques , extraites de l'italien de Bandel, contenant encore dixhuit histoires traduites et enrichies outre l'invention de l'autheur par François de Belleforest...	1566	cb36043475r, cb30079877s, cb30079876f, cb360434821, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb360434763, cb30079877s, cb30079876f, cb36043477f, cb30079877s, cb30079876f, cb300798784, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079879g, cb30116344n, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb300798753, cb30079877s, cb30079876f, cb30079879g, cb360434794, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g
16	gallica_bpt6k110345m	Le sixiesme tome des Histoires tragiques extraittes des oeuvres italiennes de Bandel, contenant trentes histoires, traduites et enrichies outre l'invention de l'autheur, plus est adjousté trois belles histoires, de l'invention de François de belle Forest...	1582	Matteo	Bandello	cb300798753	cb36043475r	Le second tome des Histoires tragiques , extraites de l'italien de Bandel, contenant encore dixhuit histoires traduites et enrichies outre l'invention de l'autheur par François de Belleforest...	1566	cb36043475r, cb30079877s, cb30079876f, cb360434821, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb360434763, cb30079877s, cb30079876f, cb36043477f, cb30079877s, cb30079876f, cb300798784, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079879g, cb30116344n, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb300798753, cb30079877s, cb30079876f, cb30079879g, cb360434794, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g
16	gallica_bpt6k1103460	Le septiesme tome des Histoires tragiques , [extraites de l'italien de Bandel], contenant plusieurs choses dignes de mémoire, et divers succez d'affaires,... [trad. et enrichies outre l'invention de l'autheur] par F. de Belleforest...	1583	Matteo	Bandello	cb360434794	cb36043475r	Le second tome des Histoires tragiques , extraites de l'italien de Bandel, contenant encore dixhuit histoires traduites et enrichies outre l'invention de l'autheur par François de Belleforest...	1566	cb36043475r, cb30079877s, cb30079876f, cb360434821, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb360434763, cb30079877s, cb30079876f, cb36043477f, cb30079877s, cb30079876f, cb300798784, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079879g, cb30116344n, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb300798753, cb30079877s, cb30079876f, cb30079879g, cb360434794, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g
16	gallica_bpt6k113057m	XVIII histoires tragiques , extraictes des oeuvres italiennes de Bandel et mises en langue françoise, les six premières, par Pierre Boisteau, surnommé Launay,... les douze suivans, par Franc. de Belle-Forest,... - Des Histoires tragiques tome second (-septiesme)...	1570	Matteo	Bandello	cb30079876f	cb36043475r	Le second tome des Histoires tragiques , extraites de l'italien de Bandel, contenant encore dixhuit histoires traduites et enrichies outre l'invention de l'autheur par François de Belleforest...	1566	cb36043475r, cb30079877s, cb30079876f, cb360434821, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb360434763, cb30079877s, cb30079876f, cb36043477f, cb30079877s, cb30079876f, cb300798784, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079879g, cb30116344n, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb300798753, cb30079877s, cb30079876f, cb30079879g, cb360434794, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g
16	gallica_bpt6k6106951q	XVIII histoires tragiques , extraictes des oeuvres italiennes de Bandel &amp;amp; mises en langue françoise, les six premières, par Pierre Boisteau, surnommé Launay,... les douze suivans, par Franc. de Belle-Forest,..	1573	Matteo	Bandello	cb30079877s	cb36043475r	Le second tome des Histoires tragiques , extraites de l'italien de Bandel, contenant encore dixhuit histoires traduites et enrichies outre l'invention de l'autheur par François de Belleforest...	1566	cb36043475r, cb30079877s, cb30079876f, cb360434821, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb360434763, cb30079877s, cb30079876f, cb36043477f, cb30079877s, cb30079876f, cb300798784, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079877s, cb30079876f, cb30079879g, cb30116344n, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb30079877s, cb30079876f, cb30079879g, cb300798753, cb30079877s, cb30079876f, cb30079879g, cb360434794, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g, cb30079877s, cb30079876f, cb30079880p, cb30079879g
17	NA	NA	NA	Christofle de	Barrouso	NA	cb35825834k	Le jardin Amoureulx . Contenant toutes les reigles damours. Avecques plusieurs lettres missives, tant de lamant, comme de lamye. Faict et compose par Maistre Christofle de Barrouso	1538	cb35825834k
18	gallica_bpt6k123271w	Histoires prodigieuses extraictes de plusieurs fameux auteurs grecs &amp;amp; latins, sacrez &amp;amp; prophanes : mises en nostre langue par P. Boaistuau, sournommé Launay, natif de Bretagne. Augmentees, outre les precedentes impressions, de six histoires advenues de nostre temps, adjoustées par F. de Belle-forest, Comingeois, avec les portraicts &amp;amp; figures. Dediées à tres-haut, &amp;amp; trespuissant seigneur, Jean de Rieux, seigneur d'Asserac.	1575	François de	Belleforest	cb301163392	cb301163392	Histoires prodigieuses extraictes de plusieurs fameux auteurs grecs &amp;amp; latins, sacrez &amp;amp; prophanes : mises en nostre langue par P. Boaistuau, sournommé Launay, natif de Bretagne. Augmentees, outre les precedentes impressions, de six histoires advenues de nostre temps, adjoustées par F. de Belle-forest, Comingeois, avec les portraicts &amp;amp; figures. Dediées à tres-haut, &amp;amp; trespuissant seigneur, Jean de Rieux, seigneur d'Asserac.	1575	cb301163392
19	NA	NA	NA	none	Bernard de Clairvaux	NA	cb300899418	Le Gouvernement de mesnaige selon la Doctrine Sainct Bernard	1529	cb300899418
20	gallica_bpt6k9905822	Seconde Partie des Avantures de Floride... (par Béroalde de Verville.)	1594	François	Béroalde de Verville	cb300927281	cb30092727p	Seconde Partie des Avantures de Floride... (par Béroalde de Verville.)	1594	cb30092727p, cb300927281
21	NA	NA	NA	François	Béroalde de Verville	NA	cb30092729c	Troisiesme Partie des Avantures de Floride... (par Béroalde de Verville.)	1594	cb30092729c
22	gallica_bpt6k990583f	Première Partie des Avantures de Floride... (par Béroalde de Verville.) Reveüe et augmentée	1594	François	Béroalde de Verville	cb30092726b	cb30092726b	Première Partie des Avantures de Floride... (par Béroalde de Verville.) Reveüe et augmentée	1594	cb30092726b
